batsman,bowler,economy_rate
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Deepak Chahar","Rashid Khan",3.5
"Deepak Chahar","Mohit Sharma",3.5
"Deepak Chahar","Mark Wood",3.5
"Tushar Deshpande","Rashid Khan",3.5
"Tushar Deshpande","Mohit Sharma",3.5
"Tushar Deshpande","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"Devon Conway","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Ben Stokes","Wayne Parnell",3.3
"Ben Stokes","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"Mitchell Santner","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Mitchell Santner","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
