match_no,batsman,run
1,"Wriddhiman Saha",25
17,"Ravindra Jadeja",25
18,"Jitesh Sharma ",25
31,"Jitesh Sharma",25
31,"Tim David",25
34,"Mitchell Marsh",25
51,"Hardik Pandya",25
52,"Glenn Phillips",25
69,"Suryakumar Yadav",25
55,"Shivam Dube",25
68,"Krunal Pandya",25
2,"Nitish Rana",24
20,"Glenn Maxwell",24
30,"Kyle Mayers",24
38,"Jitesh Sharma",24
22,"Tim David",24
34,"Washington Sundar",24
47,"Andre Russell",24
55,"Ruturaj Gaikwad",24
68,"Venkatesh Iyer",24
1,"Moeen Ali",23
2,"Prabhsimran Singh",23
6,"Ayush Badoni",23
9,"Faf du Plessis",23
20,"Anrich Nortje",23
30,"Krunal Pandya",23
37,"Moeen Ali",23
37,"Ravindra Jadeja",23
38,"Liam Livingstone",23
21,"Shahrukh Khan",23
35,"Suryakumar Yadav",23
43,"Krishnappa Gowtham",23
44,"Ripal Patel",23
46,"Cameron Green",23
70,"Anuj Rawat",23
55,"Ambati Rayudu",23
1,"Sai Sudharsan",22
2,"Rahmanullah Gurbaz",22
18,"Sam Curran",22
18,"Shahrukh Khan",22
4,"Shimron Hetmyer",22
20,"Faf du Plessis",22
36,"Dinesh Karthik",22
21,"Harpreet Singh Bhatia",22
32,"Sanju Samson",22
12,"Tilak Varma",22
14,"Sam Curran",22
25,"Aiden Markram",22
50,"David Warner",22
56,"Nitish Rana",22
64,"Prabhsimran Singh",22
67,"Shivam Dube",22
6,"Marcus Stoinis",21
26,"Marcus Stoinis",21
2,"Jitesh Sharma",21
8,"Devdutt Padikkal",21
28,"Manish Pandey",21
29,"Rahul Tripathi",21
9,"Virat Kohli",21
20,"Axar Patel",21
5,"Nehal Wadhera",21
10,"Abdul Samad",21
38,"Sam Curran",21
22,"Andre Russell",21
12,"Rohit Sharma",21
41,"Jitesh Sharma",21
34,"David Warner",21
14,"Mayank Agarwal",21
47,"Abdul Samad",21
49,"Ajinkya Rahane",21
59,"Philip Salt",21
51,"David Miller",21
51,"Ayush Badoni",21
53,"Jitesh Sharma",21
53,"Shahrukh Khan",21
53,"Rinku Singh",21
55,"Ajinkya Rahane",21
55,"Ravindra Jadeja",21
55,"Axar Patel",21
